Región: Valparaiso
  valparaíso: regional=74509, global=108698, ratio=0.6855
  viña: regional=56740, global=99471, ratio=0.5704
  chile: regional=38412, global=1028292, ratio=0.0374
  región: regional=32254, global=382871, ratio=0.0842
  festival: regional=26994, global=97788, ratio=0.2760
  personas: regional=25002, global=578017, ratio=0.0433
  nacional: regional=20628, global=523528, ratio=0.0394
  antonio: regional=19228, global=97181, ratio=0.1979
  país: regional=18365, global=584321, ratio=0.0314
  horas: regional=16642, global=374621, ratio=0.0444
  lugar: regional=15941, global=346227, ratio=0.0460
  estado: regional=15587, global=449259, ratio=0.0347
  público: regional=15394, global=282909, ratio=0.0544
  momento: regional=15223, global=374819, ratio=0.0406
  contra: regional=14857, global=513132, ratio=0.0290
  hecho: regional=14077, global=319948, ratio=0.0440
  sido: regional=13998, global=361443, ratio=0.0387
  gobierno: regional=13867, global=463458, ratio=0.0299
  cuenta: regional=13583, global=326336, ratio=0.0416
  primera: regional=13559, global=346810, ratio=0.0391

Región: Los Rios
  valdivia: regional=39526, global=52851, ratio=0.7479
  jorge: regional=18855, global=103785, ratio=0.1817
  ríos: regional=13180, global=43580, ratio=0.3024
  chile: regional=12990, global=1028292, ratio=0.0126
  unión: regional=12487, global=63871, ratio=0.1955
  aránguiz: regional=11914, global=32599, ratio=0.3655
  contra: regional=11636, global=513132, ratio=0.0227
  daniela: regional=11541, global=44935, ratio=0.2568
  región: regional=10019, global=382871, ratio=0.0262
  orsini: regional=9022, global=13654, ratio=0.6608
  país: regional=7991, global=584321, ratio=0.0137
  europea: regional=7877, global=26151, ratio=0.3012
  nacional: regional=7826, global=523528, ratio=0.0149
  presidente: regional=7815, global=441258, ratio=0.0177
  ella: regional=7801, global=217852, ratio=0.0358
  dijo: regional=7679, global=389432, ratio=0.0197
  maite: regional=7589, global=14713, ratio=0.5158
  caso: regional=7437, global=391855, ratio=0.0190
  acuerdo: regional=7247, global=308333, ratio=0.0235
  estado: regional=7241, global=449259, ratio=0.0161

Región: Antofagasta
  antofagasta: regional=31910, global=53872, ratio=0.5923
